q;a/0/option;a/0/correct;a/1/option;a/1/correct;a/2/option;a/2/correct;a/3/option;a/3/correct;correct;incorrect;select_any
What foundation purchased 1.6 acres of land in the Center for Educational Associations, Reston, Virginia, as the site for a future FBLA-PBL National Center in 1981?;The Conrad N. Hilton Foundation;TRUE;The Rockefeller Foundation;FALSE;Young Business Organization;FALSE;Association for Business Education;FALSE;<p><span>Good call.</span></p>;<p><span>Well, no.</span> The Conrad N. Hilton Foundation</p>;
Which of the following organizations is NOT one of FBLA's current sponsors or partners?;Apple;TRUE;Berkeley College;FALSE;AMA, Operation Enterprise;FALSE;Custom Shades;FALSE;<p><span>Good job.</span></p>;<p><span>Not quite.</span> Apple</p>;
Which of the following oganizations helps FBLA with fundraising?;Reach and Teach;TRUE;Nspire;FALSE;Minute Maid;FALSE;Schwebber's;FALSE;<p><span>Excellent.</span></p>;<p><span>No.</span> Reach and Teach</p>;
Each year, FBLA contributes donations towards the health of premature babies through which organization?;March of Dimes;TRUE;Prematurity Awareness;FALSE;Graham's Foundation;FALSE;Eunice Shriver Research Institute;FALSE;<p><span>Correct.</span></p>;<p><span>Incorrect.  </span> March of Dimes</p>;
Which of the following organizations does NOT help FBLA with fundraising?;Yankee Candle;TRUE;School Spirit Coffee;FALSE;Schermer Pecans;FALSE;Tom-Wat Fundraising;FALSE;<p><span>Good call.</span></p>;<p><span>No.  </span> Yankee Candle</p>;
Which of the following sponsors/partners of FBLA is not linked to education and/or leadership?;Alamo;TRUE;Stevens Institute of Technology School of Business;FALSE;Stock Market Game;FALSE;Cengage;FALSE;<p><span>Good job.</span></p>;<p><span>Well, no.</span> Alamo</p>;
Which of the following is NOT one of the benefits provided by FBLA's sponsors?;Internship opportunities;TRUE;Educational programs;FALSE;Scholarships;FALSE;Funding for Trophies and Awards;FALSE;<p><span>Excellent.</span></p>;<p><span>Not quite.</span> Internship opportunities</p>;
Which organization does NOT provide membership benefits and discounts to those involved with FBLA?;Cengage;TRUE;Geico;FALSE;Amazon;FALSE;Men's Wearhouse;FALSE;<p><span>Correct.</span></p>;<p><span>No.</span> Cengage</p>;
Which of the following organizations partnered with FBLA allows students to experience a simulation in controlling a forty million dollar company?;Capsim;TRUE;Crimson Education;FALSE;Sims;FALSE;Destinations;FALSE;<p><span>Good call.</span></p>;<p><span>Incorrect.  </span> Capsim</p>;
Which of the following organizations partnered with FBLA helped to create a school store manual?;The Raymond Geddes company;TRUE;Find Your Grind;FALSE;Crimson Education;FALSE;Knowledge Matters;FALSE;<p><span>Good job.</span></p>;<p><span>No.  </span> The Raymond Geddes company</p>;
